,FosterZipCode
78705,81
78704,69
78745,45
78741,38
78751,36
78757,27
78723,24
78702,24
78748,23
78746,23
78759,21
78758,19
78703,19
78753,19
78701,17
78613,17
78660,17
78731,17
78756,16
78749,15
78729,15
78744,13
78727,13
78735,10
78641,10
78732,10
78728,10
78722,9
78737,9
78738,9
78754,9
78750,8
78734,8
78717,8
78739,8
78747,8
78752,8
78724,7
78733,7
78726,7
78664,6
78681,6
78736,5
78640,4
78730,4
78666,4
78634,3
78653,3
78721,3
78620,3
78617,2
78612,2
78626,2
78619,2
78669,2
78665,2
78725,2
78610,2
78133,1
77546,1
76574,1
78962,1
78652,1
76537,1
787,1
43231,1
76504,1
78621,1
78130,1
23225,1
78654,1
78644,1
68657,1
